idx,id,title,url,date
1,1b4ZBs20jyM,Greenland,https://www.youtube.com/watch?v=1b4ZBs20jyM,unknown
2,RDRTcRdNN1w,"Tariff whiplash, Trump’s legal cases and Romania treason plot",https://www.youtube.com/watch?v=RDRTcRdNN1w,unknown
3,mWFqveU6jVQ,"Ukrainians in US, pickup politics, Mexico’s judicial elections and DEI",https://www.youtube.com/watch?v=mWFqveU6jVQ,unknown
4,IW36IctyQfk,"Trump’s speech, Trudeau hits back and China’s economic plan",https://www.youtube.com/watch?v=IW36IctyQfk,unknown
5,4iLWkPOiUfI,"Trade wars, Ukraine aid, Russia sanctions and Gaza alternative",https://www.youtube.com/watch?v=4iLWkPOiUfI,2025-03-04
6,V08KcUn6a_8,"Europe rallies round Ukraine, tariffs, crypto reserve and Oscars",https://www.youtube.com/watch?v=V08KcUn6a_8,2025-03-03
7,84C__WRLk0o,Oscars 2025: Hollywood’s big night,https://www.youtube.com/watch?v=84C__WRLk0o,2025-03-01
8,VDSGQZQyjjM,"Trump and Zelenskiy, PKK, measles and Apple DEI",https://www.youtube.com/watch?v=VDSGQZQyjjM,2025-02-28
9,8co-Emd3C00,"Starmer meets Trump, Musk at cabinet, Gene Hackman and Andrew Tate",https://www.youtube.com/watch?v=8co-Emd3C00,2025-02-27
10,76jHYobE4XQ,"Ukraine minerals deal, consumer confidence, tax cuts and South Korea birthrate",https://www.youtube.com/watch?v=76jHYobE4XQ,2025-02-26
